account_id,upi_id,customer_name,account_type,is_verified_merchant,balance,risk_score,status,created_at
ACC-10096,rajesh.mule.aggregator@oksbi,Rajesh Kumar,SAVINGS,False,12000.00,0.95,FLAGGED,2026-06-15T10:00:00Z
ACC-MULE-L2-01,suresh.mule.l2.node.1@okaxis,Suresh Dispersion 1,CURRENT,False,46000.00,0.92,FLAGGED,2026-07-01T09:00:00Z
ACC-MULE-L2-02,suresh.mule.l2.node.2@okaxis,Suresh Dispersion 2,CURRENT,False,46000.00,0.92,FLAGGED,2026-07-01T09:00:00Z
ACC-MULE-L2-03,suresh.mule.l2.node.3@okaxis,Suresh Dispersion 3,CURRENT,False,46000.00,0.92,FLAGGED,2026-07-01T09:00:00Z
ACC-VIC-A01,victim.student.1@okhdfcbank,Pawan Student 1,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A02,victim.student.2@okhdfcbank,Pawan Student 2,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A03,victim.student.3@okhdfcbank,Pawan Student 3,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A04,victim.student.4@okhdfcbank,Pawan Student 4,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A05,victim.student.5@okhdfcbank,Pawan Student 5,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A06,victim.student.6@okhdfcbank,Pawan Student 6,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A07,victim.student.7@okhdfcbank,Pawan Student 7,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A08,victim.student.8@okhdfcbank,Pawan Student 8,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A09,victim.student.9@okhdfcbank,Pawan Student 9,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-A10,victim.student.10@okhdfcbank,Pawan Student 10,SAVINGS,False,4500.00,0.15,ACTIVE,2025-09-10T11:00:00Z
ACC-VIC-B01,senior.citizen.victim@okicici,Ramesh Chandra,SAVINGS,False,18000.00,0.20,ACTIVE,2024-03-12T08:30:00Z
ACC-LAY-MULE-A,layering.mule.a@oktalb,Kailash Node 1,CURRENT,False,5000.00,0.88,FLAGGED,2026-05-20T10:15:00Z
ACC-LAY-MULE-B,layering.mule.b@oktalb,Kailash Node 2,CURRENT,False,7000.00,0.91,FLAGGED,2026-05-20T10:15:00Z
ACC-LAY-MULE-C,layering.mule.c@oktalb,Kailash Node 3,CURRENT,False,9000.00,0.94,FLAGGED,2026-05-20T10:15:00Z
ACC-LAY-SINK-01,crypto.cashout.terminal@okfcc,Offshore Cashout Desk,CURRENT,False,130000.00,0.99,FROZEN,2026-07-20T14:00:00Z
ACC-VIC-C01,compromised.business.acct@oksbi,Verma Enterprises,CURRENT,False,15000.00,0.40,ACTIVE,2024-11-05T12:00:00Z
ACC-DISP-SINK-01,rapid.cashout.sink.1@okhdfcbank,Fast ATM Sink 1,SAVINGS,False,30000.00,0.94,FROZEN,2026-08-01T08:00:00Z
ACC-DISP-SINK-02,rapid.cashout.sink.2@okhdfcbank,Fast ATM Sink 2,SAVINGS,False,30000.00,0.94,FROZEN,2026-08-01T08:00:00Z
ACC-DISP-SINK-03,rapid.cashout.sink.3@okhdfcbank,Fast ATM Sink 3,SAVINGS,False,30000.00,0.94,FROZEN,2026-08-01T08:00:00Z
ACC-VIC-D01,hnw.investor.account@okaxis,Vikramaditya Singhania,SAVINGS,False,85000.00,0.45,FLAGGED,2023-08-15T10:00:00Z
ACC-MULE-L2-04,ato.mule.first.node@oksbi,Dinesh ATO Mule 1,SAVINGS,False,70000.00,0.90,FLAGGED,2026-07-28T11:00:00Z
ACC-MULE-L2-05,ato.mule.second.node@okicici,Mukesh ATO Mule 2,SAVINGS,False,70000.00,0.91,FLAGGED,2026-07-29T14:30:00Z
ACC-ATO-SINK-01,gaming.wallet.sink@oktalb,Virtual Poker Escrow,CURRENT,False,60000.00,0.97,FROZEN,2026-08-05T16:00:00Z
ACC-MULE-L1-02,smurfing.source.node@okfcc,Rajat Smurf Hub,CURRENT,False,2000.00,0.89,FLAGGED,2026-06-10T09:00:00Z
ACC-MULE-L2-06,smurf.layering.node.1@oksbi,Smurf Mule 1,SAVINGS,False,49000.00,0.86,FLAGGED,2026-07-15T15:00:00Z
ACC-MULE-L2-07,smurf.layering.node.2@oksbi,Smurf Mule 2,SAVINGS,False,49000.00,0.86,FLAGGED,2026-07-15T15:00:00Z
FCC_001,kiit.canteen@okfcc,KIIT central canteen,CURRENT,True,150000.00,0.03,ACTIVE,2025-06-10T10:00:00Z
FCC_002,apollopharmacy@okfcc,Apollo Pharmacy Store,CURRENT,True,100000.00,0.04,ACTIVE,2025-09-13T09:09:59Z
FCC_003,nescafe@okfcc,Nescafe coffee store,CURRENT,True,95000.00,0.01,ACTIVE,2025-05-01T10:59:59Z
FCC_004,airtelstore@okfcc,Airtel store,CURRENT,True,80000.00,0.02,ACTIVE,2025-01-01T01:00:00Z
FCC_005,laundary@okfcc,Campus Laundary,CURRENT,True,75767.00,0.03,ACTIVE,2025-06-30T10:50:00Z
FCC_006,instakinggrocery@okfcc,Instaking grocery store,CURRENT,True,50000.00,0.04,ACTIVE,2025-07-10T12:00:00Z
FCC_007,kiitbookstore@okfcc,KIIT Bookstore,CURRENT,True,175000.00,0.01,ACTIVE,2025-04-01T10:39:59Z
FCC_008,trends.store@okfcc,Trends clothing store,CURRENT,True,200000.00,0.02,ACTIVE,2025-06-30T01:59:59Z
FCC_009,smartmart@okfcc,Smart mart Grocery ,CURRENT,True,195000.00,0.03,ACTIVE,2025-07-30T04:00:00Z
FCC_010,citymedicals@okfcc,City Pharmacy & Medicals,CURRENT,True,125000.00,0.04,ACTIVE,2025-09-01T10:16:00Z
FCC_011,royalsweets@okfcc,Royal Sweets & Snacks,CURRENT,True,88000.00,0.01,ACTIVE,2025-07-28T01:30:00Z
FCC_012,kruticoffee@okfcc,Kruti Coffee & Roastery,CURRENT,True,99000.00,0.02,ACTIVE,2025-11-10T10:00:00Z
FCC_013,boccacafe@okfcc,Bocca Cafe Express,CURRENT,True,130000.00,0.03,ACTIVE,2025-12-11T03:00:00Z
FCC_014,cabanafood@okfcc,Cabana Food Court,CURRENT,True,160987.00,0.04,ACTIVE,2025-01-01T10:09:59Z
FCC_015,medpluscare@okfcc,MedPlus Pharmacy & Care,CURRENT,True,115000.00,0.01,ACTIVE,2025-05-31T09:00:00Z
FCC_016,aarav.sharma21@okfcc,Aarav Sharma,CURRENT,True,12500.00,0.04,ACTIVE,2025-08-01T10:14:59Z
FCC_017,sneha.patel88@okfcc,Sneha Patel,CURRENT,True,8400.00,0.05,ACTIVE,2025-08-01T11:19:59Z
FCC_018,rohan.verma09@okfcc,Rohan Verma,CURRENT,True,15600.00,0.05,ACTIVE,2025-08-02T09:45:00Z
FCC_019,ananya.mishra44@okfcc,Ananya Mishra,CURRENT,True,22000.00,0.05,ACTIVE,2025-08-02T14:10:00Z
FCC_020,vikram.singh77@okfcc,Vikram Singh,CURRENT,True,5400.00,0.01,ACTIVE,2025-08-03T16:30:00Z
FCC_021,priya.das12@okfcc,Priya Das,CURRENT,True,31000.00,0.02,ACTIVE,2025-08-03T18:00:00Z
FCC_022,aditya.roy55@okfcc,Aditya Roy,CURRENT,True,9800.00,0.03,ACTIVE,2025-08-04T11:15:00Z
FCC_023,riya.sengupta91@okfcc,Riya Sengupta,CURRENT,True,14200.00,0.04,ACTIVE,2025-08-04T12:40:00Z
FCC_024,harsh.vardhan33@okfcc,Harsh Vardhan,CURRENT,True,6700.00,0.05,ACTIVE,2025-08-05T10:05:00Z
FCC_025,tanvi.agarwal18@okfcc,Tanvi Agarwal,CURRENT,True,18500.00,0.05,ACTIVE,2025-08-05T15:49:59Z
FCC_026,kunal.nayak04@okfcc,Kunal Nayak,CURRENT,True,11200.00,0.05,ACTIVE,2025-08-06T09:29:59Z
FCC_027,ishita.mohanty62@okfcc,Ishita Mohanty,CURRENT,True,27500.00,0.01,ACTIVE,2025-08-06T13:25:00Z
FCC_028,ayush.tripathi81@okfcc,Ayush Tripathi,CURRENT,True,4300.00,0.02,ACTIVE,2025-08-07T10:59:59Z
FCC_029,shreya.jena29@okfcc,Shreya Jena,CURRENT,True,19800.00,0.03,ACTIVE,2025-08-07T16:45:00Z
FCC_030,devendra.sahoo73@okfcc,Devendra Sahoo,CURRENT,True,8900.00,0.04,ACTIVE,2025-08-08T10:20:00Z
FCC_031,megha.panda15@okfcc,Megha Panda,CURRENT,True,16400.00,0.05,ACTIVE,2025-08-08T14:15:00Z
FCC_032,siddharth.raut90@okfcc,Siddharth Raut,CURRENT,True,25000.00,0.05,ACTIVE,2025-08-09T11:50:00Z
FCC_033,pooja.behera47@okfcc,Pooja Behera,CURRENT,True,7300.00,0.05,ACTIVE,2025-08-09T17:35:00Z
FCC_034,aman.pradhan08@okfcc,Aman Pradhan,CURRENT,True,13900.00,0.01,ACTIVE,2025-08-10T09:09:59Z
FCC_035,neha.mohapatra66@okfcc,Neha Mohapatra,CURRENT,True,21500.00,0.02,ACTIVE,2025-08-10T13:00:00Z
FCC_036,saurav.swain23@okfcc,Saurav Swain,CURRENT,True,5800.00,0.03,ACTIVE,2025-08-11T10:39:59Z
FCC_037,aditi.panigrahi51@okfcc,Aditi Panigrahi,CURRENT,True,34000.00,0.04,ACTIVE,2025-08-11T15:15:00Z
FCC_038,rahul.biswal84@okfcc,Rahul Biswal,CURRENT,True,9200.00,0.05,ACTIVE,2025-08-12T11:05:00Z
FCC_039,simran.dash39@okfcc,Simran Dash,CURRENT,True,17600.00,0.05,ACTIVE,2025-08-12T16:20:00Z
FCC_040,nikhil.pattnaik02@okfcc,Nikhil Pattnaik,CURRENT,True,12100.00,0.05,ACTIVE,2025-08-13T09:54:59Z
FCC_041,divya.samal78@okfcc,Divya Samal,CURRENT,True,28400.00,0.01,ACTIVE,2025-08-13T14:39:59Z
FCC_042,akash.tripathy14@okfcc,Akash Tripathy,CURRENT,True,6300.00,0.02,ACTIVE,2025-08-14T10:09:59Z
FCC_043,swati.acharya95@okfcc,Swati Acharya,CURRENT,True,19100.00,0.03,ACTIVE,2025-08-14T15:29:59Z
FCC_044,pratik.barik58@okfcc,Pratik Barik,CURRENT,True,8600.00,0.04,ACTIVE,2025-08-15T11:24:59Z
FCC_045,shruti.sethi20@okfcc,Shruti Sethi,CURRENT,True,14900.00,0.05,ACTIVE,2025-08-15T16:59:59Z
FCC_046,manish.rath67@okfcc,Manish Rath,CURRENT,True,23400.00,0.05,ACTIVE,2025-08-16T09:40:00Z
FCC_047,pragyan.hota06@okfcc,Pragyan Hota,CURRENT,True,7800.00,0.05,ACTIVE,2025-08-16T13:50:00Z
FCC_048,mohit.nayak43@okfcc,Mohit Nayak,CURRENT,True,16700.00,0.01,ACTIVE,2025-08-17T10:14:59Z
FCC_049,pallavi.kar89@okfcc,Pallavi Kar,CURRENT,True,31200.00,0.02,ACTIVE,2025-08-17T16:05:00Z
FCC_050,deepak.mallick31@okfcc,Deepak Mallick,CURRENT,True,5100.00,0.03,ACTIVE,2025-08-18T11:35:00Z
FCC_051,ankita.ray75@okfcc,Ankita Ray,CURRENT,True,18300.00,0.04,ACTIVE,2025-08-18T15:20:00Z
FCC_052,shubham.dalai17@okfcc,Shubham Dalai,CURRENT,True,10500.00,0.05,ACTIVE,2025-08-19T09:24:59Z
FCC_053,rashmi.parida60@okfcc,Rashmi Parida,CURRENT,True,26800.00,0.05,ACTIVE,2025-08-19T14:10:00Z
FCC_054,abhishek.moharana98@okfcc,Abhishek Moharana,CURRENT,True,4900.00,0.05,ACTIVE,2025-08-20T10:50:00Z
FCC_055,payal.kanungo25@okfcc,Payal Kanungo,CURRENT,True,20400.00,0.01,ACTIVE,2025-08-20T16:14:59Z
FCC_056,gourav.srichandan83@okfcc,Gourav Srichandan,CURRENT,True,9400.00,0.02,ACTIVE,2025-08-21T11:39:59Z
FCC_057,deepa.bhuyan40@okfcc,Deepa Bhuyan,CURRENT,True,15800.00,0.03,ACTIVE,2025-08-21T17:05:00Z
FCC_058,rakesh.khandei03@okfcc,Rakesh Khandei,CURRENT,True,22700.00,0.04,ACTIVE,2025-08-22T09:15:00Z
FCC_059,sunita.mahapatra71@okfcc,Sunita Mahapatra,CURRENT,True,6900.00,0.05,ACTIVE,2025-08-22T13:30:00Z
FCC_060,alok.prusty16@okfcc,Alok Prusty,CURRENT,True,13400.00,0.05,ACTIVE,2025-08-23T10:00:00Z
FCC_061,lipsa.satpathy59@okfcc,Lipsa Satpathy,CURRENT,True,29600.00,0.05,ACTIVE,2025-08-23T15:45:00Z
FCC_062,suman.debnath94@okfcc,Suman Debnath,CURRENT,True,8100.00,0.01,ACTIVE,2025-08-24T11:10:00Z
FCC_063,monalisa.sen37@okfcc,Monalisa Sen,CURRENT,True,17100.00,0.02,ACTIVE,2025-08-24T16:34:59Z
FCC_064,joydeep.bose82@okfcc,Joydeep Bose,CURRENT,True,11800.00,0.03,ACTIVE,2025-08-25T09:45:00Z
FCC_065,debolina.paul26@okfcc,Debolina Paul,CURRENT,True,24300.00,0.04,ACTIVE,2025-08-25T14:19:59Z
FCC_066,arnab.ghosh69@okfcc,Arnab Ghosh,CURRENT,True,5600.00,0.05,ACTIVE,2025-08-26T10:30:00Z
FCC_067,sayani.dutta11@okfcc,Sayani Dutta,CURRENT,True,18900.00,0.05,ACTIVE,2025-08-26T15:54:59Z
FCC_068,subhajit.banerjee54@okfcc,Subhajit Banerjee,CURRENT,True,9700.00,0.05,ACTIVE,2025-08-27T11:15:00Z
FCC_069,rituparna.bhattacharya97@okfcc,Rituparna Bhattacharya,CURRENT,True,32500.00,0.01,ACTIVE,2025-08-27T17:24:59Z
FCC_070,kaushik.mukherjee38@okfcc,Kaushik Mukherjee,CURRENT,True,7100.00,0.02,ACTIVE,2025-08-28T09:35:00Z
FCC_071,oindrila.ganguly80@okfcc,Oindrila Ganguly,CURRENT,True,16200.00,0.03,ACTIVE,2025-08-28T13:50:00Z
FCC_072,sourav.chakraborty24@okfcc,Sourav Chakraborty,CURRENT,True,21900.00,0.04,ACTIVE,2025-08-29T10:25:00Z
FCC_073,piyali.roy65@okfcc,Piyali Roy,CURRENT,True,8500.00,0.05,ACTIVE,2025-08-29T16:09:59Z
FCC_074,nilanjan.sarkar07@okfcc,Nilanjan Sarkar,CURRENT,True,14600.00,0.05,ACTIVE,2025-08-30T11:44:59Z
FCC_075,sarmistha.das49@okfcc,Sarmistha Das,CURRENT,True,27100.00,0.05,ACTIVE,2025-08-30T17:15:00Z
FCC_076,chirag.gupta92@okfcc,Chirag Gupta,CURRENT,True,6100.00,0.01,ACTIVE,2025-08-31T09:49:59Z
FCC_077,garima.khandelwal35@okfcc,Garima Khandelwal,CURRENT,True,19400.00,0.02,ACTIVE,2025-08-31T14:05:00Z
FCC_078,pranav.singhal76@okfcc,Pranav Singhal,CURRENT,True,10900.00,0.03,ACTIVE,2025-09-01T10:14:59Z
FCC_079,rashi.agrawal19@okfcc,Rashi Agrawal,CURRENT,True,23800.00,0.04,ACTIVE,2025-09-01T15:29:59Z
FCC_080,tarun.mittal63@okfcc,Tarun Mittal,CURRENT,True,4700.00,0.05,ACTIVE,2025-09-02T10:59:59Z
FCC_081,kriti.bansal05@okfcc,Kriti Bansal,CURRENT,True,17900.00,0.05,ACTIVE,2025-09-02T16:39:59Z
FCC_082,gaurav.jindal48@okfcc,Gaurav Jindal,CURRENT,True,9100.00,0.05,ACTIVE,2025-09-03T09:20:00Z
FCC_083,ishan.garg90@okfcc,Ishan Garg,CURRENT,True,30500.00,0.01,ACTIVE,2025-09-03T13:45:00Z
FCC_084,shreya.goel32@okfcc,Shreya Goel,CURRENT,True,7500.00,0.02,ACTIVE,2025-09-04T10:34:59Z
FCC_085,vivek.somani74@okfcc,Vivek Somani,CURRENT,True,15300.00,0.03,ACTIVE,2025-09-04T15:09:59Z
FCC_086,tanya.maheshwari18@okfcc,Tanya Maheshwari,CURRENT,True,22400.00,0.04,ACTIVE,2025-09-05T11:24:59Z
FCC_087,ankit.biyani61@okfcc,Ankit Biyani,CURRENT,True,5900.00,0.05,ACTIVE,2025-09-05T16:59:59Z
FCC_088,mehak.chhabra02@okfcc,Mehak Chhabra,CURRENT,True,18100.00,0.05,ACTIVE,2025-09-06T09:40:00Z
FCC_089,varun.seth46@okfcc,Varun Seth,CURRENT,True,12800.00,0.05,ACTIVE,2025-09-06T14:15:00Z
FCC_090,bhavya.juneja87@okfcc,Bhavya Juneja,CURRENT,True,28900.00,0.01,ACTIVE,2025-09-07T10:50:00Z
FCC_091,rohit.batra30@okfcc,Rohit Batra,CURRENT,True,6500.00,0.02,ACTIVE,2025-09-07T16:05:00Z
FCC_092,palak.grover72@okfcc,Palak Grover,CURRENT,True,19600.00,0.03,ACTIVE,2025-09-08T11:30:00Z
FCC_093,sahil.wadhwa15@okfcc,Sahil Wadhwa,CURRENT,True,10200.00,0.04,ACTIVE,2025-09-08T17:19:59Z
FCC_094,nihanka.ahuja57@okfcc,Niharika Ahuja,CURRENT,True,24700.00,0.05,ACTIVE,2025-09-09T09:09:59Z
ACC_002,saanvi.mehta1@talb,Saanvi Mehta,CURRENT,True,212918.40,0.05,ACTIVE,2023-05-24T00:00:00Z
ACC_007,sai.joshi6@talb,Sai Joshi,CURRENT,True,248598.73,0.02,ACTIVE,2023-05-24T00:00:00Z
ACC_018,arjun.patel17@talb,Arjun Patel,CURRENT,True,256359.53,0.05,ACTIVE,2022-07-13T00:00:00Z
ACC_019,neha.gupta18@talb,Neha Gupta,CURRENT,True,212816.78,0.05,ACTIVE,2022-09-06T00:00:00Z
ACC_023,arjun.sharma22@talb,Arjun Sharma,CURRENT,True,232772.10,0.05,ACTIVE,2022-02-01T00:00:00Z
ACC_031,aarav.bose30@talb,Aarav Bose,CURRENT,True,257337.41,0.05,ACTIVE,2023-01-26T00:00:00Z
ACC_033,pooja.malhotra32@talb,Pooja Malhotra,CURRENT,True,235251.47,0.05,ACTIVE,2022-04-24T00:00:00Z
ACC_039,vivaan.iyer38@talb,Vivaan Iyer,CURRENT,True,220214.03,0.05,ACTIVE,2023-01-04T00:00:00Z
ACC_046,vivaan.verma45@talb,Vivaan Verma,CURRENT,True,217194.84,0.03,ACTIVE,2022-01-21T00:00:00Z
ACC_047,meera.malhotra46@talb,Meera Malhotra,CURRENT,True,273024.43,0.05,ACTIVE,2022-04-06T00:00:00Z
ACC_049,dhruv.malhotra48@talb,Dhruv Malhotra,CURRENT,True,222232.21,0.05,ACTIVE,2023-11-26T00:00:00Z
ACC_053,priya.reddy52@talb,Priya Reddy,CURRENT,True,237983.46,0.05,ACTIVE,2023-10-08T00:00:00Z
ACC_054,krishna.kapoor53@talb,Krishna Kapoor,CURRENT,True,231371.08,0.05,ACTIVE,2022-05-26T00:00:00Z
ACC_056,yash.patel55@talb,Yash Patel,CURRENT,True,205495.27,0.05,ACTIVE,2023-03-27T00:00:00Z
ACC_059,aditya.patel58@talb,Aditya Patel,CURRENT,True,223471.60,0.05,ACTIVE,2023-03-24T00:00:00Z
ACC_062,riya.das61@talb,Riya Das,CURRENT,True,219053.57,0.05,ACTIVE,2023-02-06T00:00:00Z
ACC_063,saanvi.mehta62@talb,Saanvi Mehta,CURRENT,True,220027.46,0.05,ACTIVE,2022-05-30T00:00:00Z
ACC_067,aryan.iyer66@talb,Aryan Iyer,CURRENT,True,240338.04,0.05,ACTIVE,2023-09-08T00:00:00Z
ACC_072,ira.mehta71@talb,Ira Mehta,CURRENT,True,204158.72,0.05,ACTIVE,2022-03-20T00:00:00Z
ACC_074,saanvi.bose73@talb,Saanvi Bose,CURRENT,True,282012.15,0.05,ACTIVE,2022-04-17T00:00:00Z
ACC_081,ayaan.chauhan80@talb,Ayaan Chauhan,CURRENT,True,204959.95,0.05,ACTIVE,2023-02-16T00:00:00Z
ACC_083,vivaan.mehta82@talb,Vivaan Mehta,CURRENT,True,202169.99,0.05,ACTIVE,2023-11-19T00:00:00Z
ACC_087,vivaan.singh86@talb,Vivaan Singh,CURRENT,True,252530.42,0.05,ACTIVE,2022-08-24T00:00:00Z
ACC-10010,reliance.retail@oksbi,Reliance Retail Supermart,CURRENT,True,295966.42,0.03,ACTIVE,2024-06-16T04:28:36Z
ACC-10020,flipkart.india.@oksbi,Flipkart India Logistics,CURRENT,True,338704.49,0.05,ACTIVE,2024-03-08T16:00:15Z
ACC-10030,swiggy.delivery@oksbi,Swiggy Delivery Partner,CURRENT,True,275123.41,0.05,ACTIVE,2024-01-28T21:41:14Z
FCC_095,kartik.taneja99@okfcc,Kartik Taneja,SAVINGS,False,8300.00,0.06,ACTIVE,2025-09-09T13:54:59Z
ACC_003,sai.chatterjee2@talb,Sai Chatterjee,SAVINGS,False,165223.24,0.22,ACTIVE,2022-03-13T00:00:00Z
ACC_006,ishaan.kapoor5@talb,Ishaan Kapoor,SAVINGS,False,146286.94,0.33,ACTIVE,2023-07-26T00:00:00Z
ACC_009,dhruv.kumar8@talb,Dhruv Kumar,SAVINGS,False,114654.15,0.20,ACTIVE,2022-03-23T00:00:00Z
ACC_011,ishaan.singh10@talb,Ishaan Singh,SAVINGS,False,48734.32,0.32,ACTIVE,2023-12-17T00:00:00Z
ACC_013,vihaan.bose12@talb,Vihaan Bose,SAVINGS,False,62342.08,0.27,ACTIVE,2023-06-27T00:00:00Z
